SEL2	411 VAR CTRL			Date: 06/01	/2015   Tim	e: 20:11:56							
BIG	BLUE 161KV												
													
#	DATE	TIME	VA_MAG	VB_MAG	VC_MAG	MV10	SC01	SC02	P	Q	PF	MV32	MV27
1282	5/28/2015	9:25:02	95490.32	95235.516	95254.945	-10200	0	48	15997.522	-5558.676	0.945	0	0
1281	5/28/2015	9:30:02	95445.734	95630.555	95295.227	-10200	0	48	15573.006	-5155.77	0.949	0	0
1280	5/28/2015	9:35:02	95575.156	95334.32	95331.32	-10200	0	48	16164.068	-4772.829	0.959	0	0
1279	5/28/2015	9:40:02	95308.219	95573.055	95254.953	-10200	0	48	16415.738	-4287.676	0.968	0	0
1278	5/28/2015	9:45:02	95249.008	95602.156	95344.516	-10200	0	48	16211.466	-3816.757	0.973	0	0
1277	5/28/2015	9:50:02	95116.508	95414.945	95433.297	-10200	0	48	14746.751	-4973.103	0.948	0	0
1276	5/28/2015	9:55:02	95337.953	95083.664	95089.672	-10200	0	48	13284.625	-4473.428	0.948	1	0
1275	5/28/2015	10:00:02	95278.836	95146.094	95351.945	-10200	0	48	13144.775	-4299.81	0.95	1	0
1274	5/28/2015	10:05:02	95199.258	95079.594	95342.82	-10200	0	48	12402.354	-3268.15	0.967	1	0
1273	5/28/2015	10:10:02	95273.367	95195.055	95007.336	-10200	0	48	13687.123	-4355.842	0.953	1	0
1272	5/28/2015	10:15:02	95491	95226.531	95317.609	-10200	0	48	14315.25	-2786.427	0.982	0	0
1271	5/28/2015	10:20:02	95280.523	95096.516	95329.258	-10200	0	48	13186.713	-4242.813	0.952	1	0
1270	5/28/2015	10:25:02	94985.406	95332.727	95032	-10200	0	48	12454.702	-4288.172	0.946	1	0
1269	5/28/2015	10:30:02	95018.719	95259.914	95344.352	-10200	0	48	11956.288	-4108.449	0.946	1	0
1268	5/28/2015	10:35:02	95263.898	95181.82	95434.5	-10200	0	48	11783.779	-3008.546	0.969	1	0
1267	5/28/2015	10:40:02	95487.461	95214.047	95216.141	-10200	0	48	12313.682	-3131.201	0.969	1	0
1266	5/28/2015	10:45:02	95039.242	95244.508	95268.414	-10200	0	48	12117.51	-3234.942	0.966	1	0
1265	5/28/2015	10:50:02	94905.711	95178.43	95086.539	-10200	0	48	11336.437	-4236.907	0.937	1	0
1264	5/28/2015	10:55:02	94983.891	95235.609	95108.945	-10200	0	48	10806.32	-2577.168	0.973	1	0
1263	5/28/2015	11:00:02	95396.93	95335.352	95108.25	-10200	0	48	11748.362	-2803.147	0.973	1	0
1262	5/28/2015	11:05:02	94954.953	95096.719	95253.172	-10200	0	48	12312.727	-3155.391	0.969	1	0
1261	5/28/2015	11:10:02	94846.008	94921.406	95157.461	-10200	0	48	12033.346	-2915.767	0.972	1	0
1260	5/28/2015	11:15:02	94674.305	94950.219	94739.641	-10200	0	48	12476.237	-4098.889	0.95	1	0
1259	5/28/2015	11:20:02	95132.359	94806.891	95053.773	-10200	0	48	12370.865	-2203.49	0.985	1	0
1258	5/28/2015	11:25:02	94761.172	95076.187	94945.758	-10200	0	48	12581.166	-3145.093	0.97	1	0
1257	5/28/2015	11:30:02	95196.711	94930.781	95032.531	-10200	0	48	12424.049	-3136.753	0.97	1	0
1256	5/28/2015	11:35:02	94796.922	95042.117	95139.227	-10200	0	48	13307.761	-3751.244	0.962	1	0
1255	5/28/2015	11:40:02	94917.555	94953.414	95247.391	-10200	0	48	14979.414	-3636.102	0.972	1	0
